date,broker,listing_id,url,resort,points,use_year,price,price_per_point,dues_per_point,deed_year,status,point_delta,cost_per_point_year
2026-01-10,DVC Resale Market (archive),ssa7851,,Saratoga Springs,65,,7345,113,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss87858,,Saratoga Springs,200,,22200,111,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss37831,,Saratoga Springs,225,,23400,104,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss87845,,Saratoga Springs,285,,29070,102,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssg7854,,Saratoga Springs,130,,14690,113,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssg7855,,Saratoga Springs,200,,23600,118,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssa7335,,Saratoga Springs,300,,33000,110,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss57863,,Saratoga Springs,120,,12960,108,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssg7856,,Saratoga Springs,150,,15300,102,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssd7670,,Saratoga Springs,150,,17100,114,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss37869,,Saratoga Springs,25,,3375,135,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss37868,,Saratoga Springs,25,,3225,129,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss57861,,Saratoga Springs,120,,13800,115,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss37872,,Saratoga Springs,200,,20600,103,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss37860,,Saratoga Springs,150,,15600,104,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss37862,,Saratoga Springs,150,,15600,104,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssa7879,,Saratoga Springs,150,,14700,98,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssa7877,,Saratoga Springs,160,,16800,105,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss57841,,Saratoga Springs,50,,6400,128,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss77876,,Saratoga Springs,160,,17600,110,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssb6858,,Saratoga Springs,130,,12480,96,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss57880,,Saratoga Springs,50,,5700,114,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssc7885,,Saratoga Springs,160,,14720,92,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssb7883,,Saratoga Springs,200,,20800,104,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss77866,,Saratoga Springs,150,,15900,106,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssf7672,,Saratoga Springs,100,,11800,118,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss37882,,Saratoga Springs,160,,16480,103,,,Archived,,
2026-01-10,DVC Resale Market (archive),ss97893,,Saratoga Springs,160,,18880,118,,,Archived,,
2026-01-10,DVC Resale Market (archive),ssg7895,,Saratoga Springs,160,,18080,113,,,Archived,,
